absolute,Abs
amount,Amnt
attack,Atk
button,Butt
chord,Chrd
Chorus,Chor
common,Comm
compressor,Comp
cutoff,Cut
cycle,Cyc
cycling,Cyc
dark,Drk
delay,Del
depth,Dpth
destination,Dst
distortion,Dist
envelope,Env
feedback,Fbk
filter,Flt
flanger,Flng
frequency,Freq
keyboard,Key
knob,
length,Lngth
level,Lvl
macro,Mcro
matrix,Mtrx
one shot,Oneshot
osc,Osc
oscillator,Osc
parameter,Parm
paraphonic,Para
phaser,Phsr
plate,Plt
polyphony,Poly
polyphonic,Poly
portamento,Port
position,Pos
quantize,Quant
relative,Relat
release,Rel
resonance,Resn
reverb,Rev
select,Sel
shift,Shft
source,Src
spatialize,Sptlz
speed,Spd
spring,Spr
start,Strt
sustain,Sus
toggle,Togg
track,Trk
trigger,Trig
type,Typ
velocity,Vel
voice,Voic
volume,Vol
waveform,Wave
